Ask Price,Ask Volume,Bid Price,Bid Volume,Chg Pct,Chg,Code,DY,Date,High,Last Price,Low,Market Cap,Name,Number of Records,Open,PE,Quote,ROE,Sector,Update Date,Volume
0.055,27890,0.05,79001,0,0,7243,,25/3/2019,0.055,0.06,0.05,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,25/3/2019 13:09,4430
0.29,150,0.275,154,3.51,0.01,191,4.41,25/3/2019,0.3,0.3,0.27,52,ACECABNET HOLDINGS BERHAD,1,0.3,11.17,CABNET,10.04,Technology Equipment,25/3/2019 13:09,505
2.79,441,2.77,60,0.72,0.02,5099,22.94,24/3/2019,2.8,2.79,2.74,9324,MAINAIRASIA GROUP BERHAD,1,2.8,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",24/3/2019 13:13,39986
0.06,83730,0.055,4243,0,0,7243,,24/3/2019,0.055,0.06,0.05,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,24/3/2019 13:13,33606
1.33,7488,1.32,4432,-4.32,-0.06,5141,,24/3/2019,1.41,1.33,1.3,1283,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.4,7.82,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",24/3/2019 13:13,513045
0.3,100,0.285,79,0,0,191,4.56,24/3/2019,0.295,0.29,0.285,50,ACECABNET HOLDINGS BERHAD,1,0.285,10.8,CABNET,10.04,Technology Equipment,24/3/2019 13:13,1267
1.33,7488,1.32,4432,-4.32,-0.06,5141,,23/3/2019,1.41,1.33,1.3,1283,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.4,7.82,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",23/3/2019 13:13,513045
0.3,100,0.285,79,0,0,191,4.56,23/3/2019,0.295,0.29,0.285,50,ACECABNET HOLDINGS BERHAD,1,0.285,10.8,CABNET,10.04,Technology Equipment,23/3/2019 13:13,1267
0.06,83730,0.055,4243,0,0,7243,,23/3/2019,0.055,0.06,0.05,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,23/3/2019 13:13,33606
2.79,441,2.77,60,0.72,0.02,5099,22.94,23/3/2019,2.8,2.79,2.74,9324,MAINAIRASIA GROUP BERHAD,1,2.8,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",23/3/2019 13:13,39986
2.79,441,2.77,60,0.72,0.02,5099,22.94,22/3/2019,2.8,2.79,2.74,9324,MAINAIRASIA GROUP BERHAD,1,2.8,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",22/3/2019 13:13,39986
1.33,7488,1.32,4432,-4.32,-0.06,5141,,22/3/2019,1.41,1.33,1.3,1283,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.4,7.82,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",22/3/2019 13:13,513045
0.06,83730,0.055,4243,0,0,7243,,22/3/2019,0.055,0.06,0.05,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,22/3/2019 13:13,33606
